m,word,D,L,n_optimal,min_tax_a1,note
9,121122122,4,4,1,SKIPPED(m>8),
9,121122211,5,5,1,SKIPPED(m>8),
9,121122212,4,4,1,SKIPPED(m>8),
9,121122221,4,4,1,SKIPPED(m>8),
9,121122222,3,3,1,SKIPPED(m>8),
9,121211111,7,7,1,SKIPPED(m>8),
9,121211112,6,6,1,SKIPPED(m>8),
9,121211121,6,6,1,SKIPPED(m>8),
9,121211122,5,5,1,SKIPPED(m>8),
9,121211211,6,6,1,SKIPPED(m>8),
9,121211212,5,5,1,SKIPPED(m>8),
9,121211221,5,5,1,SKIPPED(m>8),
9,121211222,4,4,1,SKIPPED(m>8),
9,121212111,6,6,1,SKIPPED(m>8),
9,121212112,5,5,1,SKIPPED(m>8),
9,121212121,5,5,1,SKIPPED(m>8),
9,121212122,4,4,1,SKIPPED(m>8),
9,121212211,5,5,1,SKIPPED(m>8),
9,121212212,4,4,1,SKIPPED(m>8),
9,121212221,4,4,1,SKIPPED(m>8),
9,121212222,3,3,1,SKIPPED(m>8),
9,121221111,6,6,1,SKIPPED(m>8),
9,121221112,5,5,1,SKIPPED(m>8),
9,121221121,5,5,1,SKIPPED(m>8),
9,121221122,4,4,1,SKIPPED(m>8),
9,121221211,5,5,1,SKIPPED(m>8),
9,121221212,4,4,1,SKIPPED(m>8),
9,121221221,4,4,1,SKIPPED(m>8),
9,121221222,3,3,1,SKIPPED(m>8),
9,121222111,5,5,1,SKIPPED(m>8),
9,121222112,4,4,1,SKIPPED(m>8),
9,121222121,4,4,1,SKIPPED(m>8),
9,121222122,3,3,1,SKIPPED(m>8),
9,121222211,4,4,1,SKIPPED(m>8),
9,121222212,3,3,1,SKIPPED(m>8),
9,121222221,3,3,1,SKIPPED(m>8),
9,121222222,2,2,1,SKIPPED(m>8),
9,122111111,7,7,1,SKIPPED(m>8),
9,122111112,6,6,1,SKIPPED(m>8),
9,122111121,6,6,1,SKIPPED(m>8),
9,122111122,5,5,1,SKIPPED(m>8),
9,122111211,6,6,1,SKIPPED(m>8),
9,122111212,5,5,1,SKIPPED(m>8),
9,122111221,5,5,1,SKIPPED(m>8),
9,122111222,4,4,1,SKIPPED(m>8),
9,122112111,6,6,1,SKIPPED(m>8),
9,122112112,5,5,1,SKIPPED(m>8),
9,122112121,5,5,1,SKIPPED(m>8),
9,122112122,4,4,1,SKIPPED(m>8),
9,122112211,5,5,1,SKIPPED(m>8),
9,122112212,4,4,1,SKIPPED(m>8),
9,122112221,4,4,1,SKIPPED(m>8),
9,122112222,3,3,1,SKIPPED(m>8),
9,122121111,6,6,1,SKIPPED(m>8),
9,122121112,5,5,1,SKIPPED(m>8),
9,122121121,5,5,1,SKIPPED(m>8),
9,122121122,4,4,1,SKIPPED(m>8),
9,122121211,5,5,1,SKIPPED(m>8),
9,122121212,4,4,1,SKIPPED(m>8),
9,122121221,4,4,1,SKIPPED(m>8),
9,122121222,3,3,1,SKIPPED(m>8),
9,122122111,5,5,1,SKIPPED(m>8),
9,122122112,4,4,1,SKIPPED(m>8),
9,122122121,4,4,1,SKIPPED(m>8),
9,122122122,3,3,1,SKIPPED(m>8),
9,122122211,4,4,1,SKIPPED(m>8),
9,122122212,3,3,1,SKIPPED(m>8),
9,122122221,3,3,1,SKIPPED(m>8),
9,122122222,2,2,1,SKIPPED(m>8),
9,122211111,6,6,1,SKIPPED(m>8),
9,122211112,5,5,1,SKIPPED(m>8),
9,122211121,5,5,1,SKIPPED(m>8),
9,122211122,4,4,1,SKIPPED(m>8),
9,122211211,5,5,1,SKIPPED(m>8),
9,122211212,4,4,1,SKIPPED(m>8),
9,122211221,4,4,1,SKIPPED(m>8),
9,122211222,3,3,1,SKIPPED(m>8),
9,122212111,5,5,1,SKIPPED(m>8),
9,122212112,4,4,1,SKIPPED(m>8),
9,122212121,4,4,1,SKIPPED(m>8),
9,122212122,3,3,1,SKIPPED(m>8),
9,122212211,4,4,1,SKIPPED(m>8),
