source,start_n,k,a,c,d_before,d_after,C_before,at_ceiling
breach,26084591,6,1,2,2,3,2,True
breach,26084591,8,1,2,3,4,3,True
breach,30826655,1,1,2,0,1,0,True
breach,30826655,3,1,2,1,2,1,True
breach,30826655,6,1,2,2,3,2,True
breach,30826655,8,1,2,3,4,3,True
breach,7114175,1,1,2,0,1,0,True
breach,7114175,3,1,2,1,2,1,True
breach,7114175,6,1,2,2,3,2,True
breach,7114175,8,1,2,3,4,3,True
breach,18179711,1,1,2,0,1,0,True
breach,18179711,3,1,2,1,2,1,True
breach,18179711,5,1,2,2,3,2,True
breach,18179711,8,1,2,3,4,3,True
breach,18179711,17,1,2,4,5,4,True
breach,18179711,18,1,2,5,6,5,True
breach,18179711,20,1,2,6,7,6,True
breach,102150395,5,1,2,0,1,0,True
breach,102150395,6,1,2,1,2,1,True
breach,102150395,8,1,2,2,3,2,True
breach,102150395,10,1,2,3,4,3,True
breach,102150395,11,1,2,4,5,4,True
breach,102150395,13,1,2,5,6,5,True
breach,102150395,27,1,2,6,7,6,True
breach,102150395,30,1,2,7,8,7,True
breach,102150395,32,1,2,8,9,8,True
breach,288471131,3,1,2,0,1,0,True
breach,288471131,6,1,2,1,2,1,True
breach,288471131,8,1,2,2,3,2,True
breach,288471131,10,1,2,3,4,3,True
breach,288471131,11,1,2,4,5,4,True
breach,288471131,13,1,2,5,6,5,True
breach,305189531,3,1,2,0,1,0,True
breach,305189531,6,1,2,1,2,1,True
breach,305189531,8,1,2,2,3,2,True
