k,climb,supports,drops
616,104,256,360
617,103,257,360
618,104,257,361
619,105,257,362
620,104,258,362
621,105,258,363
622,104,259,363
623,105,259,364
624,106,259,365
625,105,260,365
626,106,260,366
627,105,261,366
628,106,261,367
629,105,262,367
630,106,262,368
631,107,262,369
632,106,263,369
633,107,263,370
634,106,264,370
635,107,264,371
636,108,264,372
637,107,265,372
638,108,265,373
639,107,266,373
640,108,266,374
641,107,267,374
642,108,267,375
643,109,267,376
644,108,268,376
645,109,268,377
646,108,269,377
647,109,269,378
648,110,269,379
649,109,270,379
650,110,270,380
651,109,271,380
652,110,271,381
653,109,272,381
654,110,272,382
655,111,272,383
656,110,273,383
657,111,273,384
658,110,274,384
659,111,274,385
660,112,274,386
661,111,275,386
662,112,275,387
663,111,276,387
664,112,276,388
665,113,276,389
666,112,277,389
667,113,277,390
668,112,278,390
669,113,278,391
670,112,279,391
671,113,279,392
672,114,279,393
673,113,280,393
674,114,280,394
675,113,281,394
676,114,281,395
677,115,281,396
678,114,282,396
679,115,282,397
680,114,283,397
681,115,283,398
682,114,284,398
683,115,284,399
684,116,284,400
685,115,285,400
686,116,285,401
687,115,286,401
688,116,286,402
689,117,286,403
690,116,287,403
691,117,287,404
692,116,288,404
693,117,288,405
694,116,289,405
695,117,289,406
696,118,289,407
697,117,290,407
698,118,290,408
699,117,291,408
700,118,291,409
