label,family,N,m,steps,D,d_rat,support_start,support_end,method,elapsed_sec
heartbeat,hybrid_rev,53,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,106,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,200,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,300,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
