family,m,target_r,D_actual,model,diff,mechanism,ray_touches,chain
sqrt2-per12,6,35,4,1,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1,"2,2;1,2;1,2;2,1;1,5;2,1"
sqrt2-per12,6,37,4,0,-4,D_no_ray_contact,,"2,1;1,2;1,4;2,1;1,2;2,2"
sqrt2-per12,6,38,3,-1,-4,D_no_ray_contact,,"2,2;1,3;1,1;2,2;1,1;2,3"
sqrt2-per12,6,40,3,0,-3,B_rides+1_costlier_than_model,0:+1;1:+1,"2,2;1,1;1,5;2,1;1,1;2,2"
sqrt2-per12,6,41,4,1,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,4;1,2;2,3"
sqrt2-per12,6,43,4,1,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,1;1,1;2,6"
sqrt2-per12,6,44,2,-2,-4,D_no_ray_contact,,"2,1;1,2;1,1;2,4;1,1;2,1"
sqrt2-per12,6,46,4,1,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1,"2,2;1,2;1,2;2,2;1,1;2,4"
sqrt2-per12,6,47,2,-1,-3,D_no_ray_contact,,"2,2;1,2;1,2;2,1;1,1;2,3"
sqrt2-per12,6,49,3,-1,-4,D_no_ray_contact,,"2,1;1,1;1,2;2,4;1,1;2,2"
sqrt2-per12,6,50,5,2,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,1;1,3;2,5"
sqrt2-per12,6,52,5,1,-4,D_no_ray_contact,,"2,1;1,1;1,2;2,2;1,1;2,6"
sqrt2-per12,6,53,3,0,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1,"2,2;1,2;1,1;2,5;1,1;2,1"
sqrt2-per12,6,55,5,2,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,6;1,2;2,2"
sqrt2-per12,6,56,2,-1,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,2;1,2;2,1"
sqrt2-per12,6,58,5,1,-4,D_no_ray_contact,,"2,1;1,1;1,2;2,4;1,3;2,2"
sqrt2-per12,6,59,3,0,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,3;1,2;2,3"
sqrt2-per12,6,61,5,1,-4,D_no_ray_contact,,"2,1;1,2;1,2;2,2;1,2;2,4"
sqrt2-per12,6,62,3,-1,-4,D_no_ray_contact,,"2,1;1,2;1,2;2,2;1,3;2,1"
sqrt2-per12,6,64,4,1,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,5;1,2;2,2"
sqrt2-per12,6,65,4,0,-4,D_no_ray_contact,,"2,2;1,3;1,1;2,2;1,4;2,1"
sqrt2-per12,6,67,2,-1,-3,D_no_ray_contact,,"2,2;1,1;1,2;2,3;1,1;2,2"
sqrt2-per12,6,68,4,1,-3,D_no_ray_contact,,"2,2;1,1;1,2;2,1;1,4;2,3"
sqrt2-per12,6,70,5,2,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,3;1,2;2,4"
sqrt2-per12,6,71,1,-2,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,1;1,3;2,1"
sqrt2-per12,6,73,5,2,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,1;1,6;2,2"
sqrt2-per12,6,74,3,-1,-4,D_no_ray_contact,,"2,1;1,2;1,4;2,1;1,2;2,1"
sqrt2-per12,6,76,2,-2,-4,D_no_ray_contact,,"2,2;1,3;1,1;2,2;1,1;2,2"
sqrt2-per12,6,77,4,0,-4,D_no_ray_contact,,"2,1;1,1;1,1;2,2;1,4;2,3"
sqrt2-per12,6,79,7,3,-4,D_no_ray_contact,,"2,1;1,2;1,1;2,1;1,6;2,4"
sqrt2-per12,6,80,2,-1,-3,B_rides+1_costlier_than_model,0:+1;1:+1,"2,2;1,1;1,5;2,1;1,1;2,1"
sqrt2-per12,7,1,4,2,-2,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1;6:+1;7:+1,"1,2;2,2;1,2;1,2;2,2;1,2;2,2"
sqrt2-per12,7,2,3,1,-2,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1;6:+1,"1,2;2,2;1,2;1,2;2,2;1,2;2,1"
sqrt2-per12,7,4,4,2,-2,D_no_ray_contact,,"1,2;2,1;1,3;1,1;2,2;1,3;2,2"
sqrt2-per12,7,5,4,2,-2,D_no_ray_contact,,"1,2;2,2;1,1;1,3;2,1;1,2;2,3"
sqrt2-per12,7,7,6,3,-3,D_no_ray_contact,,"1,1;2,2;1,4;1,1;2,2;1,2;2,4"
sqrt2-per12,7,8,3,1,-2,D_no_ray_contact,,"1,2;2,1;1,3;1,1;2,2;1,3;2,1"
sqrt2-per12,8,1,4,3,-1,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1;6:+1;7:+1,"2,2;1,2;2,2;1,2;1,2;2,2;1,2;2,2"
sqrt2-per12,8,2,3,2,-1,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1;6:+1;7:+1,"2,2;1,2;2,2;1,2;1,2;2,2;1,2;2,1"
sqrt2-per12,8,4,4,2,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,3;1,1;2,2;1,3;2,2"
sqrt2-per12,8,5,5,3,-2,D_no_ray_contact,,"2,1;1,2;2,2;1,4;1,1;2,1;1,2;2,3"
sqrt2-per12,8,7,6,3,-3,D_no_ray_contact,,"2,1;1,1;2,2;1,4;1,1;2,2;1,2;2,4"
sqrt2-per12,8,8,3,1,-2,D_no_ray_contact,,"2,2;1,2;2,1;1,3;1,1;2,2;1,3;2,1"
