m,word_label,word,L,slack_bound,n_chains_in_band,n_non_loop_chains
8,random190,22221221,2,3,2,1
8,random191,22122211,3,4,4,3
8,random192,21211111,6,7,4,3
8,random193,11111121,7,8,3,2
8,random194,21111211,6,7,4,3
8,random195,12121122,4,5,1,0
8,random196,22122221,2,3,2,1
8,random197,21121121,5,6,3,2
8,random198,22211221,3,4,2,1
8,random199,21112221,4,5,2,1
8,sqrt2-per12,21211212,4,5,1,0
