m,word_label,word,a_seq,L,slack_bound,k_star_1indexed,chain_max,rho_at_kstar,rho_mod3,rho_mod9,rho_mod27,left_loop_ray_exact,left_1ray_mod3_coarse,g_at_kstar,g_loop_at_kstar,diff_g_minus_gloop,residue_independent_check
7,random076,2222112,"2,4,3,2,1,1,2",2,3,3,3,13,1,4,13,True,False,3,0,3,True
7,random078,1112221,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random079,2211221,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random081,2211121,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random081,2211121,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random082,2212121,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random082,2212121,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random085,1212111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random085,1212111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
7,random085,1212111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random086,2221111,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random086,2221111,"2,2,4,3,2,1,1",4,5,5,5,17,2,8,17,True,True,5,2,3,True
7,random086,2221111,"2,4,3,2,1,1,2",4,5,7,5,9,0,0,9,True,True,5,4,1,True
7,random087,2212111,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random087,2212111,"2,2,4,3,2,1,1",4,5,5,5,17,2,8,17,True,True,5,2,3,True
7,random087,2212111,"2,4,3,2,1,1,2",4,5,7,5,9,0,0,9,True,True,5,4,1,True
7,random089,1221211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random089,1221211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random089,1221211,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random090,1111111,"2,2,2,2,2,4,1",7,8,6,8,5,2,5,5,True,True,8,6,2,True
7,random090,1111111,"2,2,4,3,2,1,1",7,8,5,8,17,2,8,17,True,True,8,5,3,True
7,random090,1111111,"2,4,3,2,1,1,2",7,8,7,8,9,0,0,9,True,True,8,7,1,True
7,random091,2122112,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random092,2222111,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random092,2222111,"2,2,4,3,2,1,1",3,4,5,4,17,2,8,17,True,True,4,1,3,True
7,random092,2222111,"2,4,3,2,1,1,2",3,4,7,4,9,0,0,9,True,True,4,3,1,True
7,random095,2112121,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
