family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,7,81,80,1,,NO_RAY_TOUCHED,,
golden-per8,8,27,1,3,3,True,+1,
golden-per8,8,27,2,2,3,False,+1,
golden-per8,8,27,4,3,,NO_RAY_TOUCHED,,
golden-per8,8,27,5,3,,NO_RAY_TOUCHED,,
golden-per8,8,27,7,5,,NO_RAY_TOUCHED,,
golden-per8,8,27,8,2,,NO_RAY_TOUCHED,,
golden-per8,8,27,10,2,,NO_RAY_TOUCHED,,
golden-per8,8,27,11,4,,NO_RAY_TOUCHED,,
golden-per8,8,27,13,2,,NO_RAY_TOUCHED,,
golden-per8,8,27,14,4,,NO_RAY_TOUCHED,,
golden-per8,8,27,16,6,,NO_RAY_TOUCHED,,
golden-per8,8,27,17,2,,NO_RAY_TOUCHED,,
golden-per8,8,27,19,3,,NO_RAY_TOUCHED,,
golden-per8,8,27,20,1,,NO_RAY_TOUCHED,,
golden-per8,8,27,22,3,,NO_RAY_TOUCHED,,
golden-per8,8,27,23,5,,NO_RAY_TOUCHED,,
golden-per8,8,27,25,7,,NO_RAY_TOUCHED,,
golden-per8,8,27,26,1,,NO_RAY_TOUCHED,,
golden-per8,8,81,1,3,3,True,+1,
golden-per8,8,81,2,2,3,False,+1,
golden-per8,8,81,4,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,5,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,7,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,8,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,10,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,11,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,13,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,14,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,16,6,,NO_RAY_TOUCHED,,
golden-per8,8,81,17,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,19,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,20,1,,NO_RAY_TOUCHED,,
golden-per8,8,81,22,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,23,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,25,7,,NO_RAY_TOUCHED,,
golden-per8,8,81,26,1,,NO_RAY_TOUCHED,,
golden-per8,8,81,28,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,29,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,31,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,32,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,34,6,,NO_RAY_TOUCHED,,
golden-per8,8,81,35,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,37,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,38,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,40,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,41,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,44,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,46,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,47,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,49,4,,NO_RAY_TOUCHED,,
golden-per8,8,81,50,6,,NO_RAY_TOUCHED,,
golden-per8,8,81,52,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,53,3,,NO_RAY_TOUCHED,,
golden-per8,8,81,55,5,,NO_RAY_TOUCHED,,
golden-per8,8,81,56,2,,NO_RAY_TOUCHED,,
golden-per8,8,81,58,4,,NO_RAY_TOUCHED,,
