alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree
"{1,2,3}",6,111233,3,3,False,0,False,True
"{1,2,3}",6,111311,4,4,False,0,False,True
"{1,2,3}",6,111312,3,3,False,0,False,True
"{1,2,3}",6,111313,3,3,False,0,False,True
"{1,2,3}",6,111321,3,3,False,0,False,True
"{1,2,3}",6,111322,3,3,False,0,False,True
"{1,2,3}",6,111323,3,3,False,0,False,True
"{1,2,3}",6,111331,3,3,False,0,False,True
"{1,2,3}",6,111332,3,3,False,0,False,True
"{1,2,3}",6,111333,3,3,False,0,False,True
"{1,2,3}",6,112111,5,5,False,0,False,True
"{1,2,3}",6,112112,4,4,False,0,False,True
"{1,2,3}",6,112113,4,4,False,0,False,True
"{1,2,3}",6,112121,4,4,False,0,False,True
"{1,2,3}",6,112122,3,3,False,0,False,True
"{1,2,3}",6,112123,3,3,False,0,False,True
"{1,2,3}",6,112131,3,3,False,0,False,True
"{1,2,3}",6,112132,3,3,False,0,False,True
"{1,2,3}",6,112133,3,3,False,0,False,True
"{1,2,3}",6,112211,4,4,False,0,False,True
"{1,2,3}",6,112212,3,3,False,0,False,True
"{1,2,3}",6,112213,3,3,False,0,False,True
"{1,2,3}",6,112221,3,3,False,0,False,True
"{1,2,3}",6,112222,2,2,False,0,False,True
"{1,2,3}",6,112223,2,2,False,0,False,True
"{1,2,3}",6,112231,2,2,False,0,False,True
"{1,2,3}",6,112232,2,2,False,0,False,True
"{1,2,3}",6,112233,2,2,False,0,False,True
"{1,2,3}",6,112311,3,3,False,0,False,True
"{1,2,3}",6,112312,2,2,False,0,False,True
"{1,2,3}",6,112313,2,2,False,0,False,True
"{1,2,3}",6,112321,2,2,False,0,False,True
"{1,2,3}",6,112322,2,2,False,0,False,True
"{1,2,3}",6,112323,2,2,False,0,False,True
"{1,2,3}",6,112331,2,2,False,0,False,True
"{1,2,3}",6,112332,2,2,False,0,False,True
"{1,2,3}",6,112333,2,2,False,-1,True,False
"{1,2,3}",6,113111,4,4,False,0,False,True
"{1,2,3}",6,113112,3,3,False,0,False,True
"{1,2,3}",6,113113,3,3,False,0,False,True
"{1,2,3}",6,113121,3,3,False,0,False,True
"{1,2,3}",6,113122,2,2,False,0,False,True
"{1,2,3}",6,113123,2,2,False,0,False,True
"{1,2,3}",6,113131,2,2,False,0,False,True
"{1,2,3}",6,113132,2,2,False,0,False,True
"{1,2,3}",6,113133,2,2,False,0,False,True
"{1,2,3}",6,113211,3,3,False,0,False,True
"{1,2,3}",6,113212,2,2,False,0,False,True
"{1,2,3}",6,113213,2,2,False,0,False,True
"{1,2,3}",6,113221,2,2,False,0,False,True
"{1,2,3}",6,113222,2,2,False,0,False,True
"{1,2,3}",6,113223,2,2,False,0,False,True
"{1,2,3}",6,113231,2,2,False,0,False,True
"{1,2,3}",6,113232,2,2,False,0,False,True
"{1,2,3}",6,113233,2,2,False,-1,True,False
"{1,2,3}",6,113311,2,2,False,0,False,True
"{1,2,3}",6,113312,2,2,False,0,False,True
"{1,2,3}",6,113313,2,2,False,0,False,True
"{1,2,3}",6,113321,2,2,False,0,False,True
"{1,2,3}",6,113322,2,2,False,0,False,True
"{1,2,3}",6,113323,2,2,False,-1,True,False
"{1,2,3}",6,113331,2,2,False,-1,True,False
"{1,2,3}",6,113332,2,2,False,-1,True,False
"{1,2,3}",6,113333,2,2,False,-2,True,False
"{1,2,3}",6,121111,5,5,False,0,False,True
"{1,2,3}",6,121112,4,4,False,0,False,True
"{1,2,3}",6,121113,4,4,False,0,False,True
"{1,2,3}",6,121121,4,4,False,0,False,True
"{1,2,3}",6,121122,3,3,False,0,False,True
"{1,2,3}",6,121123,3,3,False,0,False,True
"{1,2,3}",6,121131,3,3,False,0,False,True
"{1,2,3}",6,121132,3,3,False,0,False,True
"{1,2,3}",6,121133,3,3,False,0,False,True
"{1,2,3}",6,121211,4,4,False,0,False,True
"{1,2,3}",6,121212,3,3,False,0,False,True
"{1,2,3}",6,121213,3,3,False,0,False,True
"{1,2,3}",6,121221,3,3,False,0,False,True
"{1,2,3}",6,121222,2,2,False,0,False,True
"{1,2,3}",6,121223,2,2,False,0,False,True
"{1,2,3}",6,121231,2,2,False,0,False,True
"{1,2,3}",6,121232,2,2,False,0,False,True
"{1,2,3}",6,121233,2,2,False,0,False,True
