alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",6,331333,2,0,-4
"{1,2,3}",6,332111,2,1,-2
"{1,2,3}",6,332112,1,0,-2
"{1,2,3}",6,332113,1,0,-2
"{1,2,3}",6,332121,1,0,-2
"{1,2,3}",6,332122,1,0,-2
"{1,2,3}",6,332123,1,0,-2
"{1,2,3}",6,332131,1,0,-2
"{1,2,3}",6,332132,1,0,-2
"{1,2,3}",6,332133,1,0,-3
"{1,2,3}",6,332211,1,0,-2
"{1,2,3}",6,332212,1,0,-2
"{1,2,3}",6,332213,1,0,-2
"{1,2,3}",6,332221,1,0,-2
"{1,2,3}",6,332222,1,0,-2
"{1,2,3}",6,332223,1,0,-3
"{1,2,3}",6,332231,1,0,-3
"{1,2,3}",6,332232,1,0,-3
"{1,2,3}",6,332233,1,0,-4
"{1,2,3}",6,332311,3,0,-3
"{1,2,3}",6,332312,3,0,-3
"{1,2,3}",6,332313,3,0,-3
"{1,2,3}",6,332321,3,0,-3
"{1,2,3}",6,332322,3,0,-3
"{1,2,3}",6,332323,3,0,-4
"{1,2,3}",6,332331,3,0,-4
"{1,2,3}",6,332332,3,0,-4
"{1,2,3}",6,332333,3,0,-5
"{1,2,3}",6,333111,1,0,-3
"{1,2,3}",6,333112,1,0,-3
"{1,2,3}",6,333113,1,0,-3
"{1,2,3}",6,333121,1,0,-3
"{1,2,3}",6,333122,1,0,-3
"{1,2,3}",6,333123,1,0,-3
"{1,2,3}",6,333131,1,0,-3
"{1,2,3}",6,333132,1,0,-3
"{1,2,3}",6,333133,1,0,-4
"{1,2,3}",6,333211,3,0,-3
"{1,2,3}",6,333212,3,0,-3
"{1,2,3}",6,333213,3,0,-3
"{1,2,3}",6,333221,3,0,-3
"{1,2,3}",6,333222,3,0,-3
"{1,2,3}",6,333223,3,0,-4
"{1,2,3}",6,333231,3,0,-4
"{1,2,3}",6,333232,3,0,-4
"{1,2,3}",6,333233,3,0,-5
"{1,2,3}",6,333311,4,0,-4
"{1,2,3}",6,333312,3,0,-4
"{1,2,3}",6,333313,3,0,-4
"{1,2,3}",6,333321,3,0,-4
"{1,2,3}",6,333322,2,0,-4
"{1,2,3}",6,333323,2,0,-5
"{1,2,3}",6,333331,2,0,-5
"{1,2,3}",6,333332,2,0,-5
"{1,2,3}",6,333333,2,0,-6
"{1,2,3}",7,1133311,3,2,-1
"{1,2,3}",7,1133312,3,2,-1
"{1,2,3}",7,1133313,3,2,-1
"{1,2,3}",7,1223311,3,1,-1
"{1,2,3}",7,1223312,3,1,-1
"{1,2,3}",7,1223313,3,1,-1
"{1,2,3}",7,1223321,2,1,-1
"{1,2,3}",7,1223322,2,1,-1
"{1,2,3}",7,1223323,2,1,-2
"{1,2,3}",7,1223331,2,1,-2
"{1,2,3}",7,1232311,3,1,-1
"{1,2,3}",7,1232312,3,1,-1
"{1,2,3}",7,1232313,3,1,-1
"{1,2,3}",7,1232321,2,1,-1
"{1,2,3}",7,1232322,2,1,-1
"{1,2,3}",7,1232323,2,1,-2
